ID,Nome,Endereço,Bairro,Seção,Divisão,Grupo,Classe,Subclasse,Preenchimento,Situação (Ativo/Vago)
,Instrumentos Musicais Pentagrama,"AVENIDA SGT HERM├ìNIO SAMPAIO, 709",MONTE CASTELO,,,,,,Comércio varejista de outros artigos de uso doméstico não especificados anteriormente,Ativo
,,"AVENIDA SGT HERM├ìNIO SAMPAIO, 715",MONTE CASTELO,,,,,,,
,,"AVENIDA SGT HERM├ìNIO SAMPAIO, 723",MONTE CASTELO,,,,,,,
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 725",MONTE CASTELO,,,,,,Residência,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 735",MONTE CASTELO,,,,,,Residência,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 775",MONTE CASTELO,,,,,,Residência,Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 787",MONTE CASTELO,,,,,,Residência,Ativo
,Toni Motos,"AVENIDA SGT HERM├ìNIO SAMPAIO, 791",MONTE CASTELO,,,,,,Comércio a varejo de peças e acessórios para motocicletas e motonetas,Ativo
,Desempeno de Aro de Moto,"AVENIDA SGT HERM├ìNIO SAMPAIO, 797",MONTE CASTELO,,,,,,Serviços de manutenção e reparação mecânica de veículos automotores,Ativo
,Ciclopeças São Francisco,"AVENIDA SGT HERM├ìNIO SAMPAIO, 803",MONTE CASTELO,,,,,,Comércio varejista de bicicletas e triciclos; peças e acessórios,Ativo
,Fênix Motos,"AVENIDA SGT HERM├ìNIO SAMPAIO, 809",MONTE CASTELO,,,,,,Comércio a varejo de peças e acessórios para motocicletas e motonetas,Ativo
,Parget Gesso,"AVENIDA SGT HERM├ìNIO SAMPAIO, 841",MONTE CASTELO,,,,,,Comércio varejista de materiais de construção não especificados anteriormente,Ativo
,W&F Contabilidade,"AVENIDA SGT HERM├ìNIO SAMPAIO, 853",MONTE CASTELO,,,,,,Atividades de contabilidade,Ativo
,Terreno baldio,"AVENIDA SGT HERM├ìNIO SAMPAIO, 869",MONTE CASTELO,,,,,,Terreno baldio,Vago
,Espaço Gourmet,"AVENIDA SGT HERM├ìNIO SAMPAIO, 875",MONTE CASTELO,,,,,,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",Ativo
,Residência,"AVENIDA SGT HERM├ìNIO SAMPAIO, 929",MONTE CASTELO,,,,,,Residência,Ativo
,Pax Multilub,"AVENIDA SGT HERM├ìNIO SAMPAIO, 939",MONTE CASTELO,,,,,,Serviços de manutenção e reparação mecânica de veículos automotores,Ativo
,Autoscar,"AVENIDA SGT HERM├ìNIO SAMPAIO, 947",MONTE CASTELO,,,,,,Comércio a varejo de peças e acessórios novos para veículos automotores,Ativo
,,"AVENIDA SGT HERM├ìNIO SAMPAIO, 949",MONTE CASTELO,,,,,,,
,Condomínio residencial,"AVENIDA SGT HERM├ìNIO SAMPAIO, 950",MONTE CASTELO,,,,,,Condomínio residencial,Ativo
,Autoscar,"AVENIDA SGT HERM├ìNIO SAMPAIO, 951",MONTE CASTELO,,,,,,Comércio a varejo de peças e acessórios novos para veículos automotores,Ativo
,ST Veículos,"AVENIDA SGT HERM├ìNIO SAMPAIO, 984",MONTE CASTELO,,,,,,"Comércio a varejo de automóveis, camionetas e utilitários usados",Ativo
